,params
0,"{'reduce_dim': PCA(n_components=12), 'reduce_dim__n_components': 10}"
1,"{'reduce_dim': PCA(n_components=12), 'reduce_dim__n_components': 11}"
2,"{'reduce_dim': PCA(n_components=12), 'reduce_dim__n_components': 12}"
3,"{'reduce_dim': PCA(n_components=12), 'reduce_dim__n_components': 13}"
4,"{'reduce_dim': PCA(n_components=12), 'reduce_dim__n_components': 14}"
5,"{'reduce_dim': PCA(n_components=12), 'reduce_dim__n_components': 15}"
6,"{'reduce_dim': PCA(n_components=12), 'reduce_dim__n_components': 16}"
7,"{'reduce_dim': PCA(n_components=12), 'reduce_dim__n_components': 17}"
8,"{'reduce_dim': PCA(n_components=12), 'reduce_dim__n_components': 18}"
9,"{'reduce_dim': PCA(n_components=12), 'reduce_dim__n_components': 19}"
10,"{'reduce_dim': TruncatedSVD(), 'reduce_dim__n_components': 10}"
11,"{'reduce_dim': TruncatedSVD(), 'reduce_dim__n_components': 11}"
12,"{'reduce_dim': TruncatedSVD(), 'reduce_dim__n_components': 12}"
13,"{'reduce_dim': TruncatedSVD(), 'reduce_dim__n_components': 13}"
14,"{'reduce_dim': TruncatedSVD(), 'reduce_dim__n_components': 14}"
15,"{'reduce_dim': TruncatedSVD(), 'reduce_dim__n_components': 15}"
16,"{'reduce_dim': TruncatedSVD(), 'reduce_dim__n_components': 16}"
17,"{'reduce_dim': TruncatedSVD(), 'reduce_dim__n_components': 17}"
18,"{'reduce_dim': TruncatedSVD(), 'reduce_dim__n_components': 18}"
19,"{'reduce_dim': TruncatedSVD(), 'reduce_dim__n_components': 19}"
